PropID,DataID,Property,Value,Prop_Type,Prop_refID,Obtained_from,From Org. Paper
prop2746,data006582,log_KOW,6.76,EXP,ref0122,NA,TRUE
prop2747,data006582,log_KAW,-1.4,"EXP, CALC",ref0122,NA,TRUE
prop2748,data006583,log_KOW,5.72,EXP,ref0122,NA,TRUE
prop2749,data006583,log_KAW,-2.13,"EXP, CALC",ref0122,NA,TRUE
prop2750,data006584,log_KOW,6.07,EXP,ref0122,NA,TRUE
prop2751,data006584,log_KAW,-1.76,"EXP, CALC",ref0122,NA,TRUE
prop2752,data006585,log_KOW,6.01,EXP,ref0122,NA,TRUE
prop2753,data006585,log_KAW,-1.21,"EXP, CALC",ref0122,NA,TRUE
prop2754,data006586,log_KOW,6.21,EXP,ref0122,NA,TRUE
prop2755,data006586,log_KAW,-1.56,"EXP, CALC",ref0122,NA,TRUE
prop2756,data006587,log_KOW,5.64,EXP,ref0122,NA,TRUE
prop2757,data006587,log_KAW,-1.97,"EXP, CALC",ref0122,NA,TRUE
prop2758,data006588,log_KOW,6.37,EXP,ref0122,NA,TRUE
prop2759,data006588,log_KAW,-1.21,"EXP, CALC",ref0122,NA,TRUE
prop2760,data006589,log_KOW,5.25,EXP,ref0122,NA,TRUE
prop2761,data006589,log_KAW,-2.72,"EXP, CALC",ref0122,NA,TRUE
prop2762,data006590,log_KOW,5.21,EXP,ref0122,NA,TRUE
prop2763,data006590,log_KAW,-2.2,"EXP, CALC",ref0122,NA,TRUE
prop2764,data006591,log_KOW,5.13,EXP,ref0122,NA,TRUE
prop2765,data006591,log_KAW,-2.29,"EXP, CALC",ref0122,NA,TRUE
prop2766,data006592,log_KOW,5.77,EXP,ref0122,NA,TRUE
prop2767,data006592,log_KAW,-2.59,"EXP, CALC",ref0122,NA,TRUE
prop2768,data006593,log_KOW,4.45,EXP,ref0122,NA,TRUE
prop2769,data006593,log_KAW,-1.88,"EXP, CALC",ref0122,NA,TRUE
prop2770,data006594,log_KOW,5.95,EXP,ref0122,NA,TRUE
prop2771,data006594,log_KAW,-1.85,"EXP, CALC",ref0122,NA,TRUE
prop2772,data006595,log_KOW,4.64,EXP,ref0122,NA,TRUE
prop2773,data006595,log_KAW,-2.09,"EXP, CALC",ref0122,NA,TRUE
prop2774,data006596,log_KOW,8.16,EXP,ref0122,NA,TRUE
prop2775,data006596,log_KAW,0.76,"EXP, CALC",ref0122,NA,TRUE
prop2776,data006597,log_KOW,4.93,EXP,ref0122,NA,TRUE
prop2777,data006597,log_KAW,-2.67,"EXP, CALC",ref0122,NA,TRUE
prop2778,data006598,log_KOW,5.58,EXP,ref0122,NA,TRUE
prop2779,data006598,log_KAW,-1.34,"EXP, CALC",ref0122,NA,TRUE
prop2780,data006599,log_KOW,6.22,EXP,ref0122,NA,TRUE
prop2781,data006599,log_KAW,-1.41,"EXP, CALC",ref0122,NA,TRUE
prop2782,data006600,log_KOW,4.99,EXP,ref0122,NA,TRUE
prop2783,data006600,log_KAW,-2.43,"EXP, CALC",ref0122,NA,TRUE
prop2784,data006601,log_KOW,6.36,EXP,ref0122,NA,TRUE
prop2785,data006601,log_KAW,-2,"EXP, CALC",ref0122,NA,TRUE
prop2786,data006602,log_KOW,7.78,EXP,ref0122,NA,TRUE
prop2787,data006602,log_KAW,-1.02,"EXP, CALC",ref0122,NA,TRUE
prop2788,data006603,log_KOW,5.53,EXP,ref0122,NA,TRUE
prop2789,data006603,log_KAW,-1.86,"EXP, CALC",ref0122,NA,TRUE
prop2790,data006604,log_KOW,6.38,EXP,ref0122,NA,TRUE
prop2791,data006604,log_KAW,-1.65,"EXP, CALC",ref0122,NA,TRUE
prop2792,data006605,log_KOW,6.6,EXP,ref0122,NA,TRUE
prop2793,data006605,log_KAW,-1.58,"EXP, CALC",ref0122,NA,TRUE
prop2794,data006606,log_KOW,5.5,EXP,ref0122,NA,TRUE
prop2795,data006606,log_KAW,-2.92,"EXP, CALC",ref0122,NA,TRUE
prop2796,data006607,log_KOW,5.99,EXP,ref0122,NA,TRUE
prop2797,data006607,log_KAW,-1.67,"EXP, CALC",ref0122,NA,TRUE
prop2798,data006608,log_KOW,6.13,EXP,ref0122,NA,TRUE
prop2799,data006608,log_KAW,-1.78,"EXP, CALC",ref0122,NA,TRUE
prop2800,data006609,log_KOW,6.3,EXP,ref0122,NA,TRUE
prop2801,data006609,log_KAW,-1.56,"EXP, CALC",ref0122,NA,TRUE
prop2802,data006610,log_KOW,5.92,EXP,ref0122,NA,TRUE
prop2803,data006610,log_KAW,-1.61,"EXP, CALC",ref0122,NA,TRUE
prop2804,data006611,log_KOW,5.88,EXP,ref0122,NA,TRUE
prop2805,data006611,log_KAW,-2.59,"EXP, CALC",ref0122,NA,TRUE
prop2806,data006612,log_KOW,5.32,EXP,ref0122,NA,TRUE
prop2807,data006612,log_KAW,-1.54,"EXP, CALC",ref0122,NA,TRUE
prop2808,data006613,log_KOW,5.7,EXP,ref0122,NA,TRUE
prop2809,data006613,log_KAW,-1.35,"EXP, CALC",ref0122,NA,TRUE
prop2810,data006614,log_KOW,5.82,EXP,ref0122,NA,TRUE
prop2811,data006614,log_KAW,-1.36,"EXP, CALC",ref0122,NA,TRUE
prop2812,data006615,log_KOW,6.41,EXP,ref0122,NA,TRUE
prop2813,data006615,log_KAW,-1.43,"EXP, CALC",ref0122,NA,TRUE
prop2814,data006616,log_KOW,6.95,EXP,ref0122,NA,TRUE
prop2815,data006616,log_KAW,-1.09,"EXP, CALC",ref0122,NA,TRUE
prop2816,data006617,log_KOW,4.75,EXP,ref0122,NA,TRUE
prop2817,data006617,log_KAW,-2.48,"EXP, CALC",ref0122,NA,TRUE
prop2818,data006618,log_KOW,5.66,EXP,ref0122,NA,TRUE
prop2819,data006618,log_KAW,-2.59,"EXP, CALC",ref0122,NA,TRUE
prop2820,data006619,log_KOW,6.14,EXP,ref0122,NA,TRUE
prop2821,data006619,log_KAW,-1.95,"EXP, CALC",ref0122,NA,TRUE
prop2822,data006620,log_KOW,7.84,EXP,ref0122,NA,TRUE
prop2823,data006620,log_KAW,-0.64,"EXP, CALC",ref0122,NA,TRUE
prop2824,data006621,log_KOW,5.74,EXP,ref0122,NA,TRUE
prop2825,data006621,log_KAW,-2.74,"EXP, CALC",ref0122,NA,TRUE
prop2826,data006622,log_KOW,5.13,EXP,ref0122,NA,TRUE
prop2827,data006622,log_KAW,-2.49,"EXP, CALC",ref0122,NA,TRUE
prop2828,data006623,log_KOW,5,EXP,ref0122,NA,TRUE
prop2829,data006623,log_KAW,-2.77,"EXP, CALC",ref0122,NA,TRUE
prop2830,data006624,log_KOW,4.96,EXP,ref0122,NA,TRUE
prop2831,data006624,log_KAW,-3.04,"EXP, CALC",ref0122,NA,TRUE
prop2832,data006625,log_KOW,5.03,EXP,ref0122,NA,TRUE
prop2833,data006625,log_KAW,-1.9,"EXP, CALC",ref0122,NA,TRUE
prop2834,data006626,log_KOW,4.7,EXP,ref0122,NA,TRUE
prop2835,data006626,log_KAW,-2.43,"EXP, CALC",ref0122,NA,TRUE
prop2836,data006627,log_KOW,6.72,EXP,ref0122,NA,TRUE
prop2837,data006627,log_KAW,-1.65,"EXP, CALC",ref0122,NA,TRUE
prop2838,data006628,log_KOW,6.28,EXP,ref0122,NA,TRUE
prop2839,data006628,log_KAW,-2.11,"EXP, CALC",ref0122,NA,TRUE
prop2840,data006629,log_KOW,7.01,EXP,ref0122,NA,TRUE
prop2841,data006629,log_KAW,-1.85,"EXP, CALC",ref0122,NA,TRUE
prop2842,data006630,log_KOW,6.82,EXP,ref0122,NA,TRUE
prop2843,data006630,log_KAW,-2.31,"EXP, CALC",ref0122,NA,TRUE
prop2844,data006631,log_KOW,7.28,EXP,ref0122,NA,TRUE
prop2845,data006631,log_KAW,-1.69,"EXP, CALC",ref0122,NA,TRUE
prop2846,data006632,log_KOW,6.72,EXP,ref0122,NA,TRUE
prop2847,data006632,log_KAW,-1.49,"EXP, CALC",ref0122,NA,TRUE
prop2848,data006633,log_KOW,6.58,EXP,ref0122,NA,TRUE
prop2849,data006633,log_KAW,-1.53,"EXP, CALC",ref0122,NA,TRUE
prop2850,data006634,log_KOW,7.01,EXP,ref0122,NA,TRUE
prop2851,data006634,log_KAW,-1.57,"EXP, CALC",ref0122,NA,TRUE
prop2852,data006635,log_KOW,7.46,EXP,ref0122,NA,TRUE
prop2853,data006635,log_KAW,-1.09,"EXP, CALC",ref0122,NA,TRUE
prop2854,data006636,log_KOW,7.31,EXP,ref0122,NA,TRUE
prop2855,data006636,log_KAW,-1.15,"EXP, CALC",ref0122,NA,TRUE
prop2856,data006637,log_KOW,7.14,EXP,ref0122,NA,TRUE
prop2857,data006637,log_KAW,-1.53,"EXP, CALC",ref0122,NA,TRUE
prop2858,data006638,log_KOW,7.55,EXP,ref0122,NA,TRUE
prop2859,data006638,log_KAW,-1.18,"EXP, CALC",ref0122,NA,TRUE
prop2860,data006639,log_KOW,8.07,EXP,ref0122,NA,TRUE
prop2861,data006639,log_KAW,-0.01,"EXP, CALC",ref0122,NA,TRUE
prop2862,data006640,log_KOW,7.81,EXP,ref0122,NA,TRUE
prop2863,data006640,log_KAW,-0.75,"EXP, CALC",ref0122,NA,TRUE
prop2864,data006641,log_KOW,7.63,EXP,ref0122,NA,TRUE
prop2865,data006641,log_KAW,-0.81,"EXP, CALC",ref0122,NA,TRUE
prop2866,data006642,log_KOW,6.51,EXP,ref0122,NA,TRUE
prop2867,data006642,log_KAW,-2.01,"EXP, CALC",ref0122,NA,TRUE
prop2868,data006643,log_KOW,5.55,EXP,ref0122,NA,TRUE
prop2869,data006643,log_KAW,-2.83,"EXP, CALC",ref0122,NA,TRUE
prop2870,data006644,log_KOW,5.88,EXP,ref0122,NA,TRUE
prop2871,data006644,log_KAW,-1.35,"EXP, CALC",ref0122,NA,TRUE
prop2872,data006645,log_KOW,6.11,EXP,ref0122,NA,TRUE
prop2873,data006645,log_KAW,-2.2,"EXP, CALC",ref0122,NA,TRUE
prop2874,data006646,log_KOW,6.47,EXP,ref0122,NA,TRUE
prop2875,data006646,log_KAW,-1.88,"EXP, CALC",ref0122,NA,TRUE
prop2876,data006647,log_KOW,6.83,EXP,ref0122,NA,TRUE
prop2877,data006647,log_KAW,-1.39,"EXP, CALC",ref0122,NA,TRUE
prop2878,data006648,log_KOW,6.99,EXP,ref0122,NA,TRUE
prop2879,data006648,log_KAW,-1.83,"EXP, CALC",ref0122,NA,TRUE
prop2880,data001365,dG,-5.8576,EST,ref0148,Estimated using a solvation model (see methods description for details),TRUE
prop2881,data002824,dG,-7.5312,EST,ref0148,Estimated using a solvation model (see methods description for details),TRUE
prop2882,data003565,dG,-8.7864,EST,ref0148,Estimated using a solvation model (see methods description for details),TRUE
prop2883,data003588,dG,-12.552,EST,ref0148,Estimated using a solvation model (see methods description for details),TRUE
prop2884,data008741,dG,-24.76928,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2885,data008742,dG,-22.63544,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2886,data008743,dG,-20.87816,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2887,data008744,dG,-34.22512,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2888,data008745,dG,-11.84072,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2889,data008746,dG,-15.60632,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2890,data008747,dG,-17.40544,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2891,data008748,dG,-14.4348,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2892,data008749,dG,-6.10864,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2893,data008750,dG,-7.28016,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2894,data008751,dG,-14.93688,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2895,data008752,dG,-16.86152,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2896,data008753,dG,-19.91584,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2897,data008754,dG,-19.91584,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2898,data008755,dG,-11.88256,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2899,data008756,dG,-17.27992,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2900,data008757,dG,-18.45144,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2901,data008758,dG,-23.38856,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2902,data008759,dG,-27.44704,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2903,data008760,dG,-15.8992,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2904,data008761,dG,-19.33008,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2905,data008762,dG,-35.94056,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2906,data008763,dG,-43.05336,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2907,data008764,dG,-41.92368,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2908,data008765,dG,-21.25472,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2909,data008766,dG,-28.82776,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2910,data008767,dG,-23.51408,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2911,data008768,dG,-21.1292,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2912,data008769,dG,-26.10816,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2913,data008770,dG,-20.92,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2914,data008771,dG,-14.39296,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2915,data008772,dG,17.23808,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2916,data008773,dG,-33.43016,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2917,data008774,dG,-36.27528,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2918,data008775,dG,-31.1708,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2919,data008776,dG,-35.564,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2920,data008777,dG,-14.8532,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2921,data008778,dG,-17.11256,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2922,data008779,dG,-16.81968,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2923,data008780,dG,-18.6188,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2924,data008781,dG,-16.5268,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2925,data008782,dG,-18.78616,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2926,data008783,dG,-27.69808,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2927,data008784,dG,-6.61072,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2928,data008785,dG,-14.30928,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2929,data008786,dG,-4.64424,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2930,data008787,dG,-8.28432,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2931,data008788,dG,-1.12968,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2932,data008789,dG,-16.56864,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2933,data008790,dG,-14.644,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2934,data008791,dG,-25.02032,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2935,data008792,dG,-10.6692,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2936,data008793,dG,-15.56448,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2937,data008794,dG,-15.60632,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2938,data008795,dG,-19.95768,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2939,data008796,dG,-12.09176,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2940,data008797,dG,-17.3636,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2941,data008798,dG,-14.30928,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2942,data008799,dG,-18.57696,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2943,data008800,dG,-12.30096,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2944,data008801,dG,-0.29288,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2945,data008802,dG,-4.68608,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2946,data008803,dG,-20.33424,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2947,data008804,dG,-27.07048,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2948,data008805,dG,-28.95328,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2949,data008806,dG,-31.08712,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2950,data008807,dG,-26.94496,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2951,data008808,dG,-23.26304,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2952,data008809,dG,-22.30072,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2953,data008810,dG,-32.04944,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2954,data008811,dG,-11.54784,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2955,data008812,dG,-12.80304,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2956,data008813,dG,-14.10008,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2957,data008814,dG,-12.1336,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2958,data008815,dG,-7.61488,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2959,data008816,dG,-8.49352,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2960,data008817,dG,-18.24224,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2961,data008818,dG,-19.07904,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2962,data008819,dG,-17.82384,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2963,data008820,dG,-19.874,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2964,data008821,dG,-16.77784,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2965,data008822,dG,-17.19624,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2966,data008823,dG,-17.9912,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2967,data008824,dG,-26.06632,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2968,data008825,dG,-25.14584,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2969,data008826,dG,-21.67312,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2970,data008827,dG,-21.3384,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2971,data008828,dG,-37.2376,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2972,data008829,dG,-37.61416,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2973,data008830,dG,-37.73968,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2974,data008831,dG,-20.92,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2975,data008832,dG,-30.16664,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2976,data008833,dG,-22.67728,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2977,data008834,dG,-21.46392,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2978,data008835,dG,-20.45976,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2979,data008836,dG,-17.5728,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2980,data008837,dG,-14.644,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2981,data008838,dG,-16.06656,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2982,data008839,dG,-37.07024,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2983,data008840,dG,-34.35064,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2984,data008841,dG,-30.66872,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2985,data008842,dG,-37.99072,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2986,data008843,dG,-13.30512,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2987,data008844,dG,-15.43896,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2988,data008845,dG,-13.89088,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2989,data008846,dG,-15.98288,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2990,data008847,dG,-20.25056,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2991,data008848,dG,-21.42208,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2992,data008849,dG,-23.34672,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2993,data008850,dG,-5.56472,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2994,data008851,dG,-10.08344,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2995,data008852,dG,-4.64424,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2996,data008853,dG,-6.94544,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2997,data008854,dG,-1.79912,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2998,data008855,dG,-18.03304,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop2999,data008856,dG,-16.9452,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3000,data008857,dG,-22.88648,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3001,data008858,dG,-12.00808,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3002,data008859,dG,-15.39712,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3003,data008860,dG,-14.60216,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3004,data008861,dG,-21.3384,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3005,data008862,dG,-14.35112,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3006,data008863,dG,-16.9452,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3007,data008864,dG,-14.10008,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3008,data008865,dG,-13.51432,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3009,data008866,dG,-13.01224,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3010,data008867,dG,-0.29288,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3011,data008868,dG,-6.44336,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3012,data008869,dG,-19.79032,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3013,data008870,dG,-23.6396,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3014,data008871,dG,-24.18352,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3015,data008872,dG,-25.77344,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3016,data008873,dG,-27.4052,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3017,data008874,dG,-23.89064,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3018,data008875,dG,-23.05384,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3019,data008876,dG,-32.50968,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3020,data008877,dG,-11.54784,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3021,data008878,dG,-12.80304,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3022,data008879,dG,-14.10008,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3023,data008880,dG,-12.1336,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3024,data008881,dG,-7.61488,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3025,data008882,dG,-8.49352,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3026,data008883,dG,-9.66504,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3027,data008884,dG,-10.41816,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3028,data008885,dG,-9.07928,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3029,data008886,dG,-11.12944,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3030,data008887,dG,-15.35528,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3031,data008888,dG,-15.56448,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3032,data008889,dG,-16.48496,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3033,data008890,dG,-21.42208,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3034,data008891,dG,-19.07904,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3035,data008892,dG,-19.33008,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3036,data008893,dG,-17.90752,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3037,data008894,dG,-34.9364,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3038,data008895,dG,-31.1708,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3039,data008896,dG,-31.12896,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3040,data008897,dG,-17.44728,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3041,data008898,dG,-25.48056,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3042,data008899,dG,-22.46808,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3043,data008900,dG,-21.21288,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3044,data008901,dG,-19.28824,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3045,data008902,dG,-15.14608,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3046,data008903,dG,-7.28016,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3047,data008904,dG,-8.87008,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3048,data008905,dG,-36.4008,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3049,data008906,dG,-30.7524,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3050,data008907,dG,-25.77344,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3051,data008908,dG,-37.15392,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3052,data008909,dG,-8.40984,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3053,data008910,dG,-10.54368,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3054,data008911,dG,-8.95376,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3055,data008912,dG,-11.0876,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3056,data008913,dG,-4.76976,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
prop3057,data008914,dG,-9.37216,EST,ref0136,Estimated using a solvation model (see methods description for details),TRUE
